date;open ;high;low ;close ;volume ;marcap
1399;10843.87;10847.26;10669.32;10784.49;44171073700;199557000000
1400;10795.25;10933.62;10472.36;10619.45;40023134100;196512000000
1401;10619.82;10657.84;10416.69;10575.98;48661453918;195716000000
1402;10575.10;10598.94;10511.13;10549.33;44660271563;195233000000
1403;10550.44;10686.00;10534.39;10669.58;71251776995;197469000000
1404;10676.53;10793.51;10634.60;10793.34;47537578009;199770000000
1405;10796.31;10797.58;10528.89;10604.41;42623695307;196282000000
1406;10603.36;10680.51;10562.51;10668.97;37799458436;197486000000
1407;10669.37;10945.74;10562.61;10915.69;63314794397;202064000000
1408;10927.91;11102.67;10846.85;11064.46;22799117613;204827000000
1409;11059.14;11442.21;11056.94;11296.36;22877978588;209130000000
1410;11296.08;11428.81;11288.63;11384.18;19968627060;210767000000
1411;11392.64;11698.47;11240.69;11555.36;26163972642;213950000000
1412;11548.72;11548.98;11321.22;11425.90;24241420251;211566000000
1413;11429.05;11539.98;11307.83;11429.51;24103426719;211643000000
1414;11426.60;11569.91;11303.60;11495.35;24487233058;212873000000
1415;11502.83;11540.06;11223.01;11322.12;25635480772;209676000000
1416;11322.12;11386.26;11285.35;11358.10;19130430174;210354000000
1417;11355.98;11483.36;11347.58;11483.36;18283314340;212683000000
1418;11495.04;11799.09;11408.29;11742.04;23860769928;217482000000
1419;11745.97;11999.92;11681.48;11916.34;30915821592;220721000000
1420;11913.08;13184.57;11900.93;12823.69;43414712626;237532000000
1421;12801.64;13161.59;12717.09;12965.89;34729759598;240166000000
1422;12971.55;13015.96;12752.65;12931.54;28974975003;239558000000
1423;12931.57;13145.07;12885.75;13108.06;24542317940;242840000000
1424;13108.06;13329.18;12910.06;13031.17;24406920575;241425000000
1425;13031.20;13225.30;12822.38;13075.25;29461458313;242251000000
1426;13075.24;13759.67;13060.84;13654.22;33749878156;252986000000
1427;13654.21;13837.70;12932.25;13271.29;35867318895;245900000000
1428;13271.30;13612.05;12980.06;13437.88;56499499598;248995000000
1429;13437.87;13651.52;13136.20;13546.52;30581485201;251018000000
1430;13546.53;14028.21;13457.53;13780.99;30306464719;255372000000
1431;13780.99;13862.03;13628.38;13737.11;24453857900;254570000000
1432;13737.03;13808.32;13243.16;13550.49;30771455468;251120000000
1433;13550.45;13984.98;13325.44;13950.30;29869951617;258541000000
1434;13950.49;14218.77;13580.47;14133.71;35116364962;261954000000
1435;14133.73;15706.40;14102.09;15579.85;40856321439;288772000000
1436;15579.73;15903.44;15226.84;15565.88;39837841971;288527000000
1437;15565.88;15737.10;14423.20;14833.75;35024953706;274970000000
1438;14833.75;15637.32;14744.11;15479.57;26632075029;286955000000
1439;15479.60;15785.14;14865.53;15332.32;34149115566;284236000000
1440;15332.35;15450.33;15124.96;15290.90;25574938143;283468000000
1441;15290.91;15916.26;15290.01;15701.34;29772374934;291077000000
1442;15701.30;16305.00;15534.77;16276.34;34175758344;301737000000
1443;16276.44;16463.18;15992.15;16317.81;31599492172;302506000000
1444;16317.81;16317.81;15749.19;16068.14;27481710135;297877000000
1445;16068.14;16123.11;15793.53;15955.59;23653867583;295791000000
1446;15955.58;16816.18;15880.71;16716.11;31526766675;309889000000
1447;16685.69;17782.92;16564.54;17645.41;39006849170;327257000000
1448;17645.19;18393.95;17352.91;17804.01;49064800278;330218000000
1449;17803.86;18119.55;17382.55;17817.09;36985055355;330475000000
1450;17817.08;18773.23;17765.80;18621.31;36992873940;345412000000
1451;18621.32;18936.62;18444.36;18642.23;39650210707;345819000000
1452;18642.23;18688.97;17671.38;18370.00;41280434226;340790000000
